,Place,Country
0,Bali, Indonesia
1,North East India,East India
2,Galle, Sri Lanka
3,Siemp Reap, Cambodia
4,Lhasa, Tibet
5,Sydney, Australia
6,Everest Base Camp, Nepal
7,Ibiza, Spain
8,Palawan, The Philippines
9,Cartagena, Colombia
10,Frankfurt, Germany
11,Bordeaux, France
12,Masada, Israel
13,Gili islands, Indonesia
14,Shangai, China
15,Rome, Italy
16,Mexico City, Mexico
17,Miami, Florida
18,Abu Dhabi, UAE
19,Cairo, Egypt
20,Bangkok, Thailand
21,Sipadan Island, Malaysia
22,Crete, Greece
23,Azores, Portugal
24,Hanoi, Vietnam
25,California, USA
26,San Sebastian, Spain
27,Singapore,Singapore
28,Laos,Laos
29,Langkawi, Malaysia
30,Bhutan,Bhutan
31,Alleppey, India
32,Leh,Leh
33,Prague, Czech Republic
34,Zurich, Switzerland
35,Amsterdam, Netherlands
36,Venice, Italy
37,London, England
38,Paris, France
39,Florence, Italy
40,Cape Town, SA
41,Reykjavik, Iceland
42,Machu Picchu, Peru
43,Budapest, Hungary
44,Sipadan Island, Malaysia
45,Dublin, Ireland
46,Cologne, Germany
47,Edinburgh, Scotland
48,Hong Kong, China
49,Melbourne, Australia
50,Barcelona, Spain
